"","date","year","month","area","allAveragePrice","numofsales","detachedAveragePrice","detachedNumberofSales","semidetachedAveragePrice","semidetachedNumberofSales","attachedAveragePrice","attachedNumberofSales","condotownhouseAveragePrice","condotownhouseNumberofSales","condoapartmentAveragePrice","condoapartmentNumberofSales"
"4931","06-2017",17,"06","Whitby",713047,188,"815993","123","524429","7","445389","9","461933","6","541803","38"
"4932","06-2017",17,"06","Whitchurch-Stouffville",1172229,45,"1255011","38","781000","3","-","0","743900","1","657667","3"
"4933","06-2017",17,"06","York Region",990530,1095,"1284853","573","795751","76","658820","55","489134","218","820158","144"
"4934","06-2018",18,"06","Adjala-Tosorontio",711212,16,"711212","16","-","0","-","0","-","0","-","0"
"4935","06-2018",18,"06","Ajax",637319,156,"702165","99","586087","15","457893","14","347200","5","572557","21"
"4936","06-2018",18,"06","Aurora",899991,94,"1111588","52","713636","11","509273","11","474000","3","692659","16"
"4937","06-2018",18,"06","Bradford West Gwillimbury",665640,55,"734909","35","580938","8","-","0","273500","2","582643","7"
"4938","06-2018",18,"06","Brampton",695904,771,"814711","407","637616","140","486407","59","359699","54","608600","105"
"4939","06-2018",18,"06","Brock",582455,11,"582455","11","-","0","-","0","-","0","-","0"
"4940","06-2018",18,"06","Burlington",774059,236,"1005173","119","637540","15","507775","33","489888","43","617626","23"
"4941","06-2018",18,"06","Caledon",874690,89,"925355","71","675063","8","-","0","-","0","627411","9"
"4942","06-2018",18,"06","City of Toronto",870559,3096,"1354429","885","999754","297","664969","228","605530","1593","942148","80"
"4943","06-2018",18,"06","City of Toronto Total",870559,3096,"1354429","885","999754","297","664969","228","605530","1593","942148","80"
"4944","06-2018",18,"06","Clarington",532908,164,"599238","100","434188","8","350829","7","325852","13","451415","20"
"4945","06-2018",18,"06","Dufferin County",560735,46,"611161","33","451200","5","416500","1","221500","2","502000","5"
"4946","06-2018",18,"06","Durham Region",610728,918,"677020","619","492648","66","405809","57","384120","44","521898","105"
"4947","06-2018",18,"06","East Gwillimbury",798927,55,"919180","35","710500","3","-","0","-","0","566953","17"
"4948","06-2018",18,"06","Essa",523418,28,"568095","19","-","0","-","0","-","0","388980","5"
"4949","06-2018",18,"06","Georgina",595946,71,"603347","66","542000","1","-","0","-","0","502150","2"
"4950","06-2018",18,"06","Halton Hills",707532,97,"780282","70","470000","1","395833","6","375500","2","582935","17"
"4951","06-2018",18,"06","Halton Region",855386,837,"1085186","442","673394","52","522745","76","516789","111","670999","150"
"4952","06-2018",18,"06","Innisfil",603978,72,"599830","63","-","0","-","0","-","0","633012","9"
"4953","06-2018",18,"06","King",1403162,34,"1541130","27","1050000","1","-","0","690000","1","871400","5"
"4954","06-2018",18,"06","Markham",974626,330,"1368191","139","839038","27","692932","22","475015","71","852347","38"
"4955","06-2018",18,"06","Milton",701595,206,"878146","86","661609","23","468889","9","431700","22","607177","66"
"4956","06-2018",18,"06","Mississauga",726211,833,"1081405","283","714602","123","562007","150","422725","241","688008","34"
"4957","06-2018",18,"06","New Tecumseth",602158,61,"645630","44","502500","2","355500","1","326000","2","520600","5"
"4958","06-2018",18,"06","Newmarket",777113,132,"899868","81","602400","23","531200","5","428750","6","623876","17"
"4959","06-2018",18,"06","Oakville",1074230,298,"1376625","167","751261","13","584893","28","592045","44","828655","44"
"4960","06-2018",18,"06","Orangeville",560735,46,"611161","33","451200","5","416500","1","221500","2","502000","5"
"4961","06-2018",18,"06","Oshawa",515261,236,"551430","171","430183","30","336607","14","450500","6","471857","14"
"4962","06-2018",18,"06","Peel Region",720215,1693,"924212","761","673664","271","540666","209","411188","295","627986","148"
"4963","06-2018",18,"06","Pickering",718344,123,"874293","71","610786","7","425045","11","398654","13","579525","20"
"4964","06-2018",18,"06","Richmond Hill",1033754,193,"1454146","95","813409","11","673111","9","455976","50","840977","27"
"4965","06-2018",18,"06","Scugog",660367,30,"662062","29","-","0","-","0","611203","1","-","0"
"4966","06-2018",18,"06","Simcoe County",615790,232,"644588","177","565250","10","355500","1","299750","4","550904","26"
"4967","06-2018",18,"06","Toronto C01",735718,494,"1645150","6","1381607","15","816667","18","682667","442","1262377","13"
"4968","06-2018",18,"06","Toronto C02",1498280,75,"2679445","11","1538633","19","1427167","3","1198650","40","775000","1"
"4969","06-2018",18,"06","Toronto C03",1824373,46,"2529813","25","1016375","8","2006415","2","805300","10","-","0"
"4970","06-2018",18,"06","Toronto C04",1859778,79,"2272685","52","1324667","9","-","0","934489","18","-","0"
"4971","06-2018",18,"06","Toronto C06",763249,25,"1441003","7","-","0","780000","1","483188","17","-","0"
"4972","06-2018",18,"06","Toronto C07",894533,97,"1567000","28","859383","6","581688","8","585249","52","1099500","2"
"4973","06-2018",18,"06","Toronto C08",728213,192,"-","0","1409000","5","837556","9","681433","168","1075319","10"
"4974","06-2018",18,"06","Toronto C09",2397400,25,"3783000","12","-","0","1175000","1","1188300","10","-","0"
"4975","06-2018",18,"06","Toronto C10",874416,80,"1679800","10","1142300","10","978000","5","663741","53","1305000","1"
"4976","06-2018",18,"06","Toronto C11",1048565,37,"1908626","11","1392400","5","872000","4","432471","17","-","0"
"4977","06-2018",18,"06","Toronto C12",2558470,23,"4853889","9","948000","1","1073760","5","1105375","8","-","0"
"4978","06-2018",18,"06","Toronto C13",977483,65,"1572704","27","725296","3","567500","2","519806","31","824250","2"
"4979","06-2018",18,"06","Toronto C14",851429,134,"2096991","23","1056000","1","704903","8","571440","101","-","0"
"4980","06-2018",18,"06","Toronto C15",712019,126,"1468605","20","846333","9","749007","14","509368","82","-","0"
"4981","06-2018",18,"06","Toronto Central",966088,1498,"2164616","241","1235102","91","851849","80","673537","1049","1141089","29"
"4982","06-2018",18,"06","Toronto E01",1032499,68,"1189800","15","1081415","30","945400","5","713458","12","1105333","6"
"4983","06-2018",18,"06","Toronto E02",1073610,64,"1505353","18","1030171","28","777914","5","629345","10","862297","3"
"4984","06-2018",18,"06","Toronto E03",998212,99,"1084861","66","945688","25","-","0","447500","8","-","0"
"4985","06-2018",18,"06","Toronto E04",612476,97,"768808","49","679833","6","528376","9","353810","30","763300","3"
"4986","06-2018",18,"06","Toronto E05",640837,77,"968311","22","696250","4","568636","11","446711","36","667500","2"
"4987","06-2018",18,"06","Toronto E06",1089153,30,"1204946","24","752500","2","-","0","562725","4","-","0"
"4988","06-2018",18,"06","Toronto E07",609254,71,"895448","23","709611","9","580000","2","408519","37","-","0"
"4989","06-2018",18,"06","Toronto E08",775475,51,"968328","32","-","0","555000","4","389285","13","641000","2"
"4990","06-2018",18,"06","Toronto E09",583540,89,"738326","42","647800","5","374083","6","428941","36","-","0"
"4991","06-2018",18,"06","Toronto E10",834301,52,"956194","36","765000","2","433332","8","-","0","660669","6"
"4992","06-2018",18,"06","Toronto E11",542679,81,"768829","24","651875","8","481811","18","323320","25","582900","5"
"4993","06-2018",18,"06","Toronto East",771830,779,"968387","351","921588","119","549863","68","431671","211","777937","27"
"4994","06-2018",18,"06","Toronto W01",1015884,62,"1584661","14","1251333","12","707833","6","695017","29","1381041","1"
"4995","06-2018",18,"06","Toronto W02",1007073,85,"1362649","29","954040","25","933333","6","628072","19","865400","5"
"4996","06-2018",18,"06","Toronto W03",712262,50,"762676","29","748655","13","576000","1","455286","7","-","0"
"4997","06-2018",18,"06","Toronto W04",629915,65,"868933","27","744333","3","518667","6","418562","29","-","0"
"4998","06-2018",18,"06","Toronto W05",551585,110,"857661","18","686781","26","464515","30","353365","32","669000","3"
"4999","06-2018",18,"06","Toronto W06",743540,141,"989136","47","783667","3","654998","11","590597","75","899780","5"
"5000","06-2018",18,"06","Toronto W07",1219516,25,"1434059","17","-","0","-","0","472633","3","938200","5"
"5001","06-2018",18,"06","Toronto W08",980311,152,"1680636","58","837500","2","642222","9","510954","79","927500","4"
"5002","06-2018",18,"06","Toronto W09",705051,55,"980212","26","800000","1","578750","4","424054","24","-","0"
"5003","06-2018",18,"06","Toronto W10",511709,74,"733714","28","674500","2","471971","7","333575","36","661000","1"
"5004","06-2018",18,"06","Toronto West",789739,819,"1150490","293","860504","87","575928","80","501459","333","886498","24"
"5005","06-2018",18,"06","TRREB Total",807871,8082,"1033574","3589","787227","816","578900","630","561097","2234","692112","702"
"5006","06-2018",18,"06","Uxbridge",787372,29,"889268","22","480000","1","523300","3","310000","1","455000","2"
"5007","06-2018",18,"06","Vaughan",940866,289,"1184325","135","820452","33","627536","11","564154","54","852010","52"
"5008","06-2018",18,"06","Whitby",679406,169,"759457","116","517800","5","413363","8","424500","5","522884","28"
"5009","06-2018",18,"06","Whitchurch-Stouffville",890083,62,"1000289","42","668400","5","-","0","-","0","655571","14"
"5010","06-2018",18,"06","York Region",928076,1260,"1152549","672","760410","115","628679","58","495533","185","772692","188"
"5011","06-2019",19,"06","Adjala-Tosorontio",777632,17,"777632","17","-","0","-","0","-","0","-","0"
"5012","06-2019",19,"06","Ajax",650450,181,"707358","117","599446","13","486357","14","431133","6","568720","25"
"5013","06-2019",19,"06","Aurora",919245,101,"1095198","65","660000","3","511108","12","498063","8","730674","12"
"5014","06-2019",19,"06","Bradford West Gwillimbury",742775,69,"784860","57","569500","3","440000","1","380000","1","561000","6"
"5015","06-2019",19,"06","Brampton",744590,932,"856338","518","674629","185","499635","63","413419","48","627518","114"
"5016","06-2019",19,"06","Brock",420682,22,"428095","21","-","0","265000","1","-","0","-","0"
"5017","06-2019",19,"06","Burlington",802275,252,"1001813","135","719900","11","576136","39","488810","42","638647","19"
"5018","06-2019",19,"06","Caledon",936009,110,"1025864","81","711208","12","-","0","672000","1","666219","16"
"5019","06-2019",19,"06","City of Toronto",915481,3201,"1332639","995","1055423","333","704533","236","636606","1497","1017533","120"
"5020","06-2019",19,"06","City of Toronto Total",915481,3201,"1332639","995","1055423","333","704533","236","636606","1497","1017533","120"
"5021","06-2019",19,"06","Clarington",564458,196,"614847","143","449333","3","416750","2","353909","11","445190","32"
"5022","06-2019",19,"06","Dufferin County",538117,62,"587820","40","477913","4","372988","8","310000","1","513113","8"
"5023","06-2019",19,"06","Durham Region",620506,1093,"672500","785","499933","60","439597","61","413752","45","520802","123"
"5024","06-2019",19,"06","East Gwillimbury",778401,66,"870761","41","661475","4","-","0","-","0","620352","21"
"5025","06-2019",19,"06","Essa",512858,43,"541833","30","442450","2","-","0","-","0","411248","4"
"5026","06-2019",19,"06","Georgina",571850,83,"587506","67","519520","5","-","0","-","0","500281","11"
"5027","06-2019",19,"06","Halton Hills",774004,109,"840897","86","617625","4","424698","7","400333","3","622714","7"
"5028","06-2019",19,"06","Halton Region",882960,907,"1097790","498","728348","51","555176","80","502357","107","690457","158"
"5029","06-2019",19,"06","Innisfil",565559,75,"589306","63","-","0","-","0","445000","2","440633","9"
"5030","06-2019",19,"06","King",1070336,29,"1153323","24","902500","2","-","0","518333","3","-","0"
"5031","06-2019",19,"06","Markham",914776,342,"1197665","148","860476","33","648942","26","516860","72","783096","39"
"5032","06-2019",19,"06","Milton",775964,240,"965132","109","715019","27","497607","7","436667","15","630349","81"
"5033","06-2019",19,"06","Mississauga",750747,860,"1109743","273","740948","125","611966","159","471762","265","747368","32"
"5034","06-2019",19,"06","New Tecumseth",638769,84,"666778","63","572500","1","615000","1","312500","2","482567","6"
"5035","06-2019",19,"06","Newmarket",772341,130,"863805","87","623404","14","544000","5","412571","7","643916","16"
"5036","06-2019",19,"06","Oakville",1072135,306,"1392489","168","827872","9","573654","27","541939","47","814521","51"
"5037","06-2019",19,"06","Orangeville",538117,62,"587820","40","477913","4","372988","8","310000","1","513113","8"
"5038","06-2019",19,"06","Oshawa",536513,277,"573523","210","422163","30","352654","13","379500","5","475126","19"
"5039","06-2019",19,"06","Peel Region",758444,1902,"951420","872","701737","322","580089","222","463481","314","655014","162"
"5040","06-2019",19,"06","Pickering",697917,130,"842046","71","628030","10","474695","20","439370","15","612795","14"
"5041","06-2019",19,"06","Richmond Hill",1082677,244,"1401004","137","796391","11","624313","14","500638","41","829549","36"
"5042","06-2019",19,"06","Scugog",691484,38,"691484","38","-","0","-","0","-","0","-","0"
"5043","06-2019",19,"06","Simcoe County",634020,288,"666717","230","527650","6","527500","2","379000","5","474884","25"
"5044","06-2019",19,"06","Toronto C01",802809,428,"2197865","10","1373564","22","746961","23","712649","359","1380308","13"
"5045","06-2019",19,"06","Toronto C02",1420626,81,"1923071","14","1883667","15","1518000","4","1043642","40","1848333","6"
"5046","06-2019",19,"06","Toronto C03",1847788,66,"2341151","41","1055691","11","2999000","1","714600","12","2780000","1"
"5047","06-2019",19,"06","Toronto C04",1707171,81,"2141933","53","1566500","4","1520000","1","736770","20","1450000","1"
"5048","06-2019",19,"06","Toronto C06",884675,33,"1417127","11","1000000","1","760500","4","562582","17","-","0"
"5049","06-2019",19,"06","Toronto C07",957005,95,"1540788","34","849000","2","677633","6","605325","52","1288000","1"
"5050","06-2019",19,"06","Toronto C08",762685,189,"1423500","2","1475917","6","954829","7","693007","164","1210800","10"
"5051","06-2019",19,"06","Toronto C09",2003721,33,"2775363","8","2751250","4","2075000","2","1574759","17","-","0"
"5052","06-2019",19,"06","Toronto C10",938706,70,"1596792","12","1305857","7","1130131","4","689921","46","1150000","1"
"5053","06-2019",19,"06","Toronto C11",1335783,41,"2415959","15","1182286","7","660000","1","532872","18","-","0"
"5054","06-2019",19,"06","Toronto C12",2204494,24,"3735588","10","1606000","1","948067","6","1179653","7","-","0"
"5055","06-2019",19,"06","Toronto C13",1166336,71,"1777783","33","940825","8","766667","3","537362","26","-","0"
"5056","06-2019",19,"06","Toronto C14",802621,128,"2122700","15","-","0","844325","8","599174","101","1092267","3"
"5057","06-2019",19,"06","Toronto C15",736694,143,"1490550","22","860706","14","608212","17","539605","87","1135500","2"
"5058","06-2019",19,"06","Toronto Central",1020610,1483,"2026759","280","1348137","102","873285","87","697082","966","1404153","38"
"5059","06-2019",19,"06","Toronto E01",1090473,79,"1281813","16","1167249","32","839400","5","777548","17","1207900","9"
"5060","06-2019",19,"06","Toronto E02",1214281,88,"1563301","32","1090802","31","930980","5","854553","15","1205000","4"
"5061","06-2019",19,"06","Toronto E03",942909,86,"1066972","44","1003892","27","625000","1","412692","12","730500","2"
"5062","06-2019",19,"06","Toronto E04",696116,90,"827923","50","742000","6","588214","7","387562","21","757667","6"
"5063","06-2019",19,"06","Toronto E05",760676,87,"1005929","37","805641","7","605379","14","454248","23","677000","4"
"5064","06-2019",19,"06","Toronto E06",866809,42,"927994","35","940000","1","708000","1","455640","5","-","0"
"5065","06-2019",19,"06","Toronto E07",638812,80,"890692","25","749100","10","571786","7","429652","34","670333","3"
"5066","06-2019",19,"06","Toronto E08",759722,61,"1008882","34","-","0","592968","5","386560","20","672500","2"
"5067","06-2019",19,"06","Toronto E09",638486,92,"766892","52","691667","3","438134","6","448785","30","695000","1"
"5068","06-2019",19,"06","Toronto E10",783372,59,"887259","40","671400","5","533400","5","314500","4","689320","5"
"5069","06-2019",19,"06","Toronto E11",594565,74,"776157","21","692209","11","432300","10","364817","18","651208","12"
"5070","06-2019",19,"06","Toronto East",818299,838,"976202","386","976246","133","596422","66","479805","199","827463","48"
"5071","06-2019",19,"06","Toronto W01",1011961,56,"1594934","15","1227667","9","763375","4","634865","26","1068423","2"
"5072","06-2019",19,"06","Toronto W02",1082788,85,"1549345","29","1038571","21","749692","12","623868","18","1014004","5"
"5073","06-2019",19,"06","Toronto W03",819515,57,"884139","33","838124","14","545000","1","558875","8","786000","1"
"5074","06-2019",19,"06","Toronto W04",738632,88,"1009081","42","770200","5","510167","12","425828","28","722000","1"
"5075","06-2019",19,"06","Toronto W05",630888,114,"873252","25","713608","36","452015","20","391230","25","697375","8"
"5076","06-2019",19,"06","Toronto W06",769347,147,"1134612","35","777800","5","754800","10","620397","90","872843","7"
"5077","06-2019",19,"06","Toronto W07",1234633,24,"1451325","16","-","0","-","0","775833","6","877500","2"
"5078","06-2019",19,"06","Toronto W08",969756,176,"1405663","76","792667","3","782083","12","604520","81","1191000","2"
"5079","06-2019",19,"06","Toronto W09",666981,60,"1049721","19","825000","2","567176","6","428246","28","826733","3"
"5080","06-2019",19,"06","Toronto W10",621841,73,"761985","39","684833","3","472833","6","399023","22","669000","3"
"5081","06-2019",19,"06","Toronto West",830859,880,"1160090","329","858216","98","613616","83","554630","332","853764","34"
"5082","06-2019",19,"06","TRREB Total",832703,8860,"1018987","4225","830015","886","608187","683","590274","2149","713540","797"
"5083","06-2019",19,"06","Uxbridge",846771,36,"914029","30","485000","1","638000","1","357500","2","599900","1"
"5084","06-2019",19,"06","Vaughan",1017886,337,"1240039","184","821235","34","639333","15","605064","47","847327","52"
"5085","06-2019",19,"06","Whitby",678355,213,"737523","155","475000","3","419150","10","489333","6","543380","32"
"5086","06-2019",19,"06","Whitchurch-Stouffville",887065,75,"994132","52","731250","4","508750","2","392000","2","662893","14"
"5087","06-2019",19,"06","York Region",930853,1407,"1115698","805","779629","110","609104","74","529942","180","752971","201"
"5088","06-2020",20,"06","Adjala-Tosorontio",714000,15,"714000","15","0","0","0","0","0","0","0","0"
"5089","06-2020",20,"06","Ajax",745589,175,"796805","124","666192","13","641030","25","491429","7","591600","5"
"5090","06-2020",20,"06","Aurora",1068255,87,"1274838","52","799688","4","788463","19","709300","10","779000","1"
"5091","06-2020",20,"06","Bradford West Gwillimbury",842092,87,"866240","77","674250","6","652000","3","0","0","0","0"
"5092","06-2020",20,"06","Brampton",819712,913,"941869","478","749755","199","711887","130","548687","69","466983","31"
"5093","06-2020",20,"06","Brock",614048,23,"625595","22","360000","1","0","0","0","0","0","0"
"5094","06-2020",20,"06","Burlington",900697,292,"1097756","173","784310","15","735767","24","621526","40","479153","38"
"5095","06-2020",20,"06","Caledon",1070690,123,"1168494","94","772989","9","744975","20","0","0","0","0"
"5096","06-2020",20,"06","City of Toronto",1022138,2830,"1523770","894","1287832","263","1094826","121","736088","243","672465","1287"
"5097","06-2020",20,"06","City of Toronto Total",1022138,2830,"1523770","894","1287832","263","1094826","121","736088","243","672465","1287"
"5098","06-2020",20,"06","Clarington",632112,240,"694304","170","455825","8","522183","36","444333","3","390056","18"
"5099","06-2020",20,"06","Dufferin County",644421,65,"707365","42","518500","4","573571","14","410000","4","434000","1"
"5100","06-2020",20,"06","Durham Region",685655,1281,"752070","877","564164","82","591812","169","471301","78","438411","59"
"5101","06-2020",20,"06","East Gwillimbury",1025359,60,"1077136","52","730540","2","674900","6","0","0","0","0"
"5102","06-2020",20,"06","Essa",630052,52,"678636","39","0","0","456700","7","0","0","0","0"
"5103","06-2020",20,"06","Georgina",718539,110,"732708","102","6e+05","1","529000","7","0","0","0","0"
"5104","06-2020",20,"06","Halton Hills",885187,125,"957573","98","685500","3","685638","13","534240","10","494000","1"
"5105","06-2020",20,"06","Halton Region",995218,990,"1213517","583","788584","46","781439","164","621437","93","519725","97"
"5106","06-2020",20,"06","Innisfil",645571,132,"632934","110","0","0","813680","15","0","0","483929","7"
"5107","06-2020",20,"06","King",1749495,60,"1821140","55","812500","2","1060667","3","0","0","0","0"
"5108","06-2020",20,"06","Markham",1086502,333,"1402751","167","934447","19","880022","52","687278","27","601512","55"
"5109","06-2020",20,"06","Milton",833527,251,"1011479","119","773081","21","713446","71","580325","16","528116","24"
"5110","06-2020",20,"06","Mississauga",891012,742,"1228643","292","831648","90","797948","31","681881","148","549532","174"
"5111","06-2020",20,"06","New Tecumseth",659427,117,"701068","88","566829","7","554766","12","0","0","321400","5"
"5112","06-2020",20,"06","Newmarket",889534,122,"1002386","81","708307","15","700088","16","612400","5","416975","4"
"5113","06-2020",20,"06","Oakville",1249685,322,"1571815","193","888429","7","909459","56","677963","27","559903","34"
"5114","06-2020",20,"06","Orangeville",644421,65,"707365","42","518500","4","573571","14","410000","4","434000","1"
"5115","06-2020",20,"06","Oshawa",577791,336,"629826","228","502300","38","517134","32","412395","30","255000","6"
"5116","06-2020",20,"06","Peel Region",866830,1778,"1063444","864","775190","298","730283","181","639529","217","537049","205"
"5117","06-2020",20,"06","Pickering",772237,161,"957483","78","681123","13","691083","24","525484","24","500382","19"
"5118","06-2020",20,"06","Richmond Hill",1213191,203,"1593401","108","903164","10","948505","40","772700","4","541814","36"
"5119","06-2020",20,"06","Scugog",683536,42,"687761","41","510300","1","0","0","0","0","0","0"
"5120","06-2020",20,"06","Simcoe County",692563,403,"714875","329","616408","13","649062","37","0","0","416208","12"
"5121","06-2020",20,"06","Toronto C01",850693,389,"1893000","7","1617074","22","1273506","17","859425","25","751439","318"
"5122","06-2020",20,"06","Toronto C02",1531748,83,"2278501","12","2103832","19","1592000","5","1414333","3","1096215","43"
"5123","06-2020",20,"06","Toronto C03",2349192,49,"3080482","33","1112667","6","0","0","0","0","704277","9"
"5124","06-2020",20,"06","Toronto C04",1967711,67,"2250767","51","1510833","6","0","0","0","0","798250","10"
"5125","06-2020",20,"06","Toronto C06",953392,25,"1578571","7","1119600","3","1150000","1","660000","1","585846","13"
"5126","06-2020",20,"06","Toronto C07",876578,65,"1587821","14","969500","4","0","0","696127","7","629901","37"
"5127","06-2020",20,"06","Toronto C08",802843,174,"0","0","1457500","6","1287558","9","1071686","7","738965","150"
"5128","06-2020",20,"06","Toronto C09",2159518,22,"3635833","6","2288667","3","1950000","1","1440000","2","1614771","7"
"5129","06-2020",20,"06","Toronto C10",1045271,76,"1846769","13","1386719","16","0","0","985000","2","702297","44"
"5130","06-2020",20,"06","Toronto C11",1429132,46,"2623125","16","1282513","8","2197000","1","691000","2","522682","19"
"5131","06-2020",20,"06","Toronto C12",2561497,34,"3359190","21","1076888","1","0","0","1096333","6","1482167","6"
"5132","06-2020",20,"06","Toronto C13",1052102,59,"1765650","20","870333","6","974333","3","895000","3","590037","27"
"5133","06-2020",20,"06","Toronto C14",904208,87,"1938308","13","0","0","1373750","4","714000","9","681099","61"
"5134","06-2020",20,"06","Toronto C15",944218,105,"1697079","29","984433","3","0","0","709304","17","623503","56"
"5135","06-2020",20,"06","Toronto Central",1128160,1281,"2307355","242","1512981","103","1339332","41","865982","84","744507","800"
"5136","06-2020",20,"06","Toronto E01",1214690,80,"1388941","18","1326812","34","1163615","13","762600","4","807755","11"
"5137","06-2020",20,"06","Toronto E02",1285368,72,"1707811","28","1228871","21","1220333","3","915631","4","724875","16"
"5138","06-2020",20,"06","Toronto E03",1145586,89,"1222991","64","1181234","14","1269000","1","1745000","1","459389","9"
"5139","06-2020",20,"06","Toronto E04",803894,97,"948330","59","836725","4","798667","6","603315","6","466705","22"
"5140","06-2020",20,"06","Toronto E05",787462,61,"1058050","26","765000","1","876944","2","642458","12","498721","19"
"5141","06-2020",20,"06","Toronto E06",1147318,37,"1299545","28","0","0","0","0","813000","2","633929","7"
"5142","06-2020",20,"06","Toronto E07",709069,49,"1007375","16","778700","4","722400","2","630000","1","494458","24"
"5143","06-2020",20,"06","Toronto E08",872833,63,"1106972","36","790000","1","751925","4","579667","6","440128","14"
"5144","06-2020",20,"06","Toronto E09",668189,77,"851297","38","787500","1","0","0","405597","4","490923","34"
"5145","06-2020",20,"06","Toronto E10",871381,58,"1005760","40","704500","2","773000","3","546570","10","372000","3"
"5146","06-2020",20,"06","Toronto E11",647434,69,"887395","19","807500","2","678375","8","561797","25","409269","13"
"5147","06-2020",20,"06","Toronto East",926249,752,"1119216","372","1181945","84","923843","42","622058","75","522995","172"
"5148","06-2020",20,"06","Toronto W01",1169369,69,"1921631","20","1428122","10","1191500","4","803333","6","634021","29"
"5149","06-2020",20,"06","Toronto W02",1122690,98,"1465080","25","1289028","26","1143875","12","843492","13","690455","22"
"5150","06-2020",20,"06","Toronto W03",887468,50,"957986","22","961696","16","871250","2","801050","2","570750","8"
"5151","06-2020",20,"06","Toronto W04",744733,78,"1072841","32","920000","1","772333","3","603929","7","465537","35"
"5152","06-2020",20,"06","Toronto W05",656875,81,"1068032","10","799141","17","797498","6","580705","22","442426","25"
"5153","06-2020",20,"06","Toronto W06",841584,161,"1205864","47","1066333","3","1012500","6","794846","13","644973","91"
"5154","06-2020",20,"06","Toronto W07",1283875,16,"1690889","9","0","0","1029333","3","0","0","613667","3"
"5155","06-2020",20,"06","Toronto W08",1174685,152,"1972580","63","977500","2","1130000","2","788542","12","557419","72"
"5156","06-2020",20,"06","Toronto W09",924670,33,"1119869","22","0","0","0","0","683333","3","478375","8"
"5157","06-2020",20,"06","Toronto W10",668749,59,"852423","30","737000","1","0","0","539417","6","450455","22"
"5158","06-2020",20,"06","Toronto West",942207,797,"1384009","280","1099730","76","1020000","38","708006","84","571116","315"
"5159","06-2020",20,"06","TRREB Total",930869,8701,"1127419","4445","929138","798","786390","887","654897","686","631704","1793"
"5160","06-2020",20,"06","Uxbridge",825072,54,"853588","48","590033","1","652216","3","517500","2","0","0"
"5161","06-2020",20,"06","Vaughan",1154352,293,"1390834","172","914727","33","927537","49","854333","3","568957","35"
"5162","06-2020",20,"06","Whitby",761142,250,"852485","166","650286","7","614306","49","497500","12","440909","11"
"5163","06-2020",20,"06","Whitchurch-Stouffville",1020246,86,"1110440","67","773467","6","709765","9","526000","2","430000","1"
"5164","06-2020",20,"06","York Region",1093826,1354,"1283136","856","860026","92","858981","201","694457","51","571052","132"
"5165","06-2021",21,"06","Adjala-Tosorontio",1501421,19,"1501421","19","0","0","0","0","0","0","0","0"
"5166","06-2021",21,"06","Ajax",926767,207,"1040083","118","829794","17","816507","44","690547","15","644667","9"
"5167","06-2021",21,"06","Aurora",1269041,127,"1534046","77","896238","8","953410","20","784200","10","636278","9"
"5168","06-2021",21,"06","Bradford West Gwillimbury",1094404,90,"1177614","69","791143","7","838917","12","0","0","0","0"
"5169","06-2021",21,"06","Brampton",1012039,1104,"1196507","594","896283","187","827756","175","672583","83","515322","54"
"5170","06-2021",21,"06","Brock",821572,31,"821572","31","0","0","0","0","0","0","0","0"
"5171","06-2021",21,"06","Burlington",1149989,325,"1490497","168","942859","22","858778","18","791764","49","698836","61"
"5172","06-2021",21,"06","Caledon",1459078,133,"1611711","106","845417","6","873750","18","785000","2","0","0"
"5173","06-2021",21,"06","City of Toronto",1079749,3850,"1699881","1085","1267044","422","1246086","126","813109","299","717466","1901"
"5174","06-2021",21,"06","City of Toronto Total",1079749,3850,"1699881","1085","1267044","422","1246086","126","813109","299","717466","1901"
"5175","06-2021",21,"06","Clarington",875077,213,"962495","149","664938","8","735833","31","575400","5","530734","14"
"5176","06-2021",21,"06","Dufferin County",798023,75,"894047","45","640667","6","734763","16","554917","6","344950","2"
"5177","06-2021",21,"06","Durham Region",917267,1425,"1020249","967","734458","85","776252","181","628542","106","522195","64"
"5178","06-2021",21,"06","East Gwillimbury",1331763,84,"1387309","73","1003583","6","942000","4","0","0","0","0"
"5179","06-2021",21,"06","Essa",860411,37,"927833","27","631000","1","664670","7","0","0","0","0"
"5180","06-2021",21,"06","Georgina",849665,122,"863479","110","722500","2","744056","9","535000","1","0","0"
"5181","06-2021",21,"06","Halton Hills",1150269,106,"1280264","80","807220","5","826667","12","637325","7","545000","2"
"5182","06-2021",21,"06","Halton Region",1222263,1096,"1564585","579","969642","71","940478","184","774676","110","684961","139"
"5183","06-2021",21,"06","Innisfil",936788,114,"964054","92","0","0","914385","13","1100000","1","639225","8"
"5184","06-2021",21,"06","King",1788070,43,"1983171","35","0","0","1254000","3","0","0","585000","4"
"5185","06-2021",21,"06","Markham",1214304,504,"1624818","235","1159395","27","1097024","62","777635","42","653436","123"
"5186","06-2021",21,"06","Milton",1035349,279,"1308112","119","953858","33","874036","86","688266","17","602483","23"
"5187","06-2021",21,"06","Mississauga",1019325,1044,"1524060","374","957379","155","928159","36","755318","184","582155","290"
"5188","06-2021",21,"06","New Tecumseth",897398,104,"987755","74","738333","3","699144","14","553297","3","488750","4"
